customer_id,month_index,income,spend,credit_utilization,missed_payments
C1001,0,11270,6875.39,0.49,0
C1001,1,11270,8649.72,0.45,0
C1001,2,11270,7891.54,0.42,0
C1001,3,11270,6016.46,0.47,1
C1001,4,11270,5640.27,0.54,1
C1001,5,11270,9771,0.5,1
C1001,6,11270,9183.53,0.5,1
C1001,7,11270,12219.53,0.48,1
C1001,8,11270,9816.53,0.48,2
C1001,9,11270,8791.25,0.54,2
C1001,10,11270,8681.28,0.49,3
C1001,11,11270,9443.95,0.49,3
C1001,12,11270,7196.3,0.47,3
C1001,13,11270,9759.8,0.53,3
C1001,14,11270,8279.35,0.5,3
C1001,15,11270,8509.9,0.48,3
C1001,16,11270,5846.74,0.54,3
C1001,17,11270,8307.01,0.61,3
